epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2331.18,1.48511,3.09015,1.6606,0.46666,0.42752,0.42663,0.30924,1.59007,2.86082,1.73443,0.000332386,0.000332386,0.000332386
2,3265.93,1.49136,2.53685,1.65171,0.48422,0.40355,0.42471,0.2834,1.72154,2.74996,1.89785,0.000652538,0.000652538,0.000652538
3,4870.24,1.52555,2.42097,1.66597,0.42845,0.43765,0.42199,0.25935,1.71907,2.77097,1.8986,0.000959491,0.000959491,0.000959491
4,9045.2,1.49927,2.29493,1.65123,0.48578,0.50269,0.47613,0.34775,1.58219,2.30592,1.70873,0.0009406,0.0009406,0.0009406
5,14156.9,1.44641,2.17453,1.60675,0.70397,0.43981,0.4878,0.36104,1.53152,2.26491,1.70957,0.0009208,0.0009208,0.0009208
6,15357.2,1.44711,2.10524,1.59847,0.50679,0.46935,0.49346,0.34035,1.58393,2.21839,1.74908,0.000901,0.000901,0.000901
7,16871.8,1.4146,2.0257,1.56967,0.52451,0.52896,0.51122,0.38135,1.46614,2.18913,1.64399,0.0008812,0.0008812,0.0008812
8,18151.7,1.38071,1.96939,1.55564,0.58424,0.53665,0.54034,0.39643,1.48985,2.04899,1.63868,0.0008614,0.0008614,0.0008614
9,19285.3,1.35798,1.90453,1.537,0.7052,0.51696,0.5289,0.39479,1.47593,2.11524,1.64276,0.0008416,0.0008416,0.0008416
10,20356.1,1.33108,1.84359,1.51284,0.56512,0.56595,0.56778,0.4299,1.40047,1.90029,1.55785,0.0008218,0.0008218,0.0008218
11,21690.9,1.31772,1.85545,1.50207,0.56075,0.58759,0.57831,0.44658,1.38194,1.90107,1.55154,0.000802,0.000802,0.000802
12,22628.4,1.30469,1.78876,1.49101,0.5617,0.57474,0.57901,0.42867,1.40564,1.85172,1.55095,0.0007822,0.0007822,0.0007822
13,23563.6,1.28638,1.72667,1.46934,0.64038,0.57005,0.59214,0.44623,1.34184,1.75509,1.50295,0.0007624,0.0007624,0.0007624
14,24482.6,1.2845,1.71489,1.47226,0.58458,0.5802,0.59402,0.45577,1.35827,1.82768,1.5162,0.0007426,0.0007426,0.0007426
15,25408.2,1.2672,1.69044,1.45793,0.7133,0.56317,0.60374,0.46248,1.36281,1.80023,1.53685,0.0007228,0.0007228,0.0007228
16,26330.5,1.2463,1.63084,1.44458,0.5579,0.61292,0.61187,0.46672,1.33706,1.75945,1.4934,0.000703,0.000703,0.000703
17,27248.9,1.22707,1.63641,1.42977,0.57286,0.60616,0.60986,0.4752,1.32445,1.75863,1.50894,0.0006832,0.0006832,0.0006832
18,28162.7,1.22722,1.60241,1.42258,0.65072,0.58936,0.61893,0.47477,1.336,1.66851,1.48669,0.0006634,0.0006634,0.0006634
19,29080.1,1.21152,1.58821,1.41797,0.64457,0.60263,0.62084,0.4799,1.31061,1.64622,1.4696,0.0006436,0.0006436,0.0006436
20,30007.1,1.20686,1.54249,1.4083,0.63778,0.61647,0.63302,0.48792,1.32943,1.60814,1.47883,0.0006238,0.0006238,0.0006238
